board,measurement_type,channel,mean,std,err_mean,err_std,n_points
acq_MainBoard_20251120_140503,pedestal,12,268.596,0.9,0.004,0.0,54395.0
acq_MainBoard_20251120_140503,pedestal,13,253.682,0.5,0.002,0.0,54410.0
acq_MainBoard_20251120_140503,pedestal,14,259.023,0.8,0.003,0.0,54394.0
acq_MainBoard_20251120_140503,pedestal,15,259.886,0.8,0.003,0.0,54392.0
acq_MainBoard_20251120_140503,pedestal,16,254.906,0.8,0.003,0.0,54396.0
acq_MainBoard_20251120_140503,pedestal,17,259.132,0.4,0.002,0.0,54409.0
acq_MainBoard_20251120_140503,pedestal,18,263.167,0.8,0.003,0.0,54390.0
acq_MainBoard_20251120_140503,pedestal,19,264.983,0.8,0.004,0.0,54393.0
acq_MainBoard_20251120_140503,pulse,01,1049.1,3.0,0.2,0.0,261.0
acq_MainBoard_20251120_140503,pulse,02,1039.8,2.0,0.2,0.0,261.0
acq_MainBoard_20251120_140503,pulse,03,980.0,100.0,10.0,0.0,63.0
acq_MainBoard_20251120_140503,pulse,04,1039.3,10.0,0.6,0.0,257.0
acq_MainBoard_20251120_140503,pulse,05,1079.3,2.0,0.1,0.0,261.0
acq_MainBoard_20251120_140503,pulse,06,998.3,3.0,0.2,0.0,264.0
acq_MainBoard_20251120_140503,pulse,07,1022.0,1.0,0.09,0.0,258.0
acq_MainBoard_20251120_140503,pulse,08,1045.9,2.0,0.1,0.0,257.0
acq_MainBoard_20251120_140503,pulse,09,970.88,2.0,0.1,0.0,262.0
acq_MainBoard_20251120_140503,pulse,10,955.6,2.0,0.1,0.0,261.0
acq_MainBoard_20251120_140503,pulse,11,1006.44,2.0,0.09,0.0,262.0
acq_MainBoard_20251120_140503,pulse,12,1029.11,1.0,0.09,0.0,257.0
acq_MainBoard_20251120_140503,pulse,13,,,,,
acq_MainBoard_20251120_140503,pulse,14,1052.9,3.0,0.2,0.0,260.0
acq_MainBoard_20251120_140503,pulse,15,1016.96,1.0,0.09,0.0,262.0
acq_MainBoard_20251120_140503,pulse,16,1028.0,2.0,0.2,0.0,259.0
acq_MainBoard_20251120_140503,pulse,17,,,,,
acq_MainBoard_20251120_140503,pulse,18,992.9,2.0,0.1,0.0,260.0
acq_MainBoard_20251120_140503,pulse,19,1023.59,1.0,0.09,0.0,260.0
acq_MainBoard_20251120_165249,pedestal,01,264.238,0.9,0.002,0.0,202587.0
acq_MainBoard_20251120_165249,pedestal,02,,,,,
acq_MainBoard_20251120_165249,pedestal,03,,,,,
acq_MainBoard_20251120_165249,pedestal,04,,,,,
acq_MainBoard_20251120_165249,pedestal,05,,,,,
acq_MainBoard_20251120_165249,pedestal,06,,,,,
acq_MainBoard_20251120_165249,pedestal,07,261.43,0.5,0.02,0.0,680.0
acq_MainBoard_20251120_165249,pedestal,08,,,,,
acq_MainBoard_20251120_165249,pedestal,09,,,,,
acq_MainBoard_20251120_165249,pedestal,10,,,,,
acq_MainBoard_20251120_165249,pedestal,11,,,,,
acq_MainBoard_20251120_165249,pedestal,12,,,,,
acq_MainBoard_20251120_165249,pedestal,13,,,,,
acq_MainBoard_20251120_165249,pedestal,14,,,,,
acq_MainBoard_20251120_165249,pedestal,15,,,,,
acq_MainBoard_20251120_165249,pedestal,16,,,,,
acq_MainBoard_20251120_165249,pedestal,17,,,,,
acq_MainBoard_20251120_165249,pedestal,18,,,,,
acq_MainBoard_20251120_165249,pedestal,19,,,,,
acq_MainBoard_20251120_165249,pulse,01,1050.05,0.9,0.03,0.0,973.0
acq_MainBoard_20251120_165249,pulse,02,,,,,
acq_MainBoard_20251120_165249,pulse,03,,,,,
acq_MainBoard_20251120_165249,pulse,04,,,,,
acq_MainBoard_20251120_165249,pulse,05,,,,,
acq_MainBoard_20251120_165249,pulse,06,,,,,
acq_MainBoard_20251120_165249,pulse,07,1020.5,0.6,0.3,0.0,4.0
acq_MainBoard_20251120_165249,pulse,08,,,,,
acq_MainBoard_20251120_165249,pulse,09,,,,,
acq_MainBoard_20251120_165249,pulse,10,,,,,
acq_MainBoard_20251120_165249,pulse,11,,,,,
acq_MainBoard_20251120_165249,pulse,12,,,,,
acq_MainBoard_20251120_165249,pulse,13,,,,,
acq_MainBoard_20251120_165249,pulse,14,,,,,
acq_MainBoard_20251120_165249,pulse,15,,,,,
acq_MainBoard_20251120_165249,pulse,16,,,,,
acq_MainBoard_20251120_165249,pulse,17,,,,,
acq_MainBoard_20251120_165249,pulse,18,,,,,
acq_MainBoard_20251120_165249,pulse,19,,,,,
acq_MainBoard_20251121_151531,pedestal,01,,,,,
acq_MainBoard_20251121_151531,pedestal,02,,,,,
acq_MainBoard_20251121_151531,pedestal,03,262.42,5.0,0.02,0.0,76467.0
acq_MainBoard_20251121_151531,pedestal,04,,,,,
acq_MainBoard_20251121_151531,pedestal,05,,,,,
acq_MainBoard_20251121_151531,pedestal,06,,,,,
acq_MainBoard_20251121_151531,pedestal,07,261.426,0.8,0.002,0.0,201211.0
acq_MainBoard_20251121_151531,pedestal,08,,,,,
acq_MainBoard_20251121_151531,pedestal,09,,,,,
acq_MainBoard_20251121_151531,pedestal,10,,,,,
acq_MainBoard_20251121_151531,pedestal,11,,,,,
acq_MainBoard_20251121_151531,pedestal,12,,,,,
acq_MainBoard_20251121_151531,pedestal,13,253.735,0.5,0.001,0.0,201541.0
acq_MainBoard_20251121_151531,pedestal,14,,,,,
acq_MainBoard_20251121_151531,pedestal,15,,,,,
acq_MainBoard_20251121_151531,pedestal,16,,,,,
acq_MainBoard_20251121_151531,pedestal,17,259.103,0.8,0.002,0.0,201224.0
acq_MainBoard_20251121_151531,pedestal,18,,,,,
acq_MainBoard_20251121_151531,pedestal,19,,,,,
acq_MainBoard_20251121_151531,pulse,01,,,,,
acq_MainBoard_20251121_151531,pulse,02,,,,,
acq_MainBoard_20251121_151531,pulse,03,847.9,60.0,0.9,0.0,3405.0
acq_MainBoard_20251121_151531,pulse,04,,,,,
acq_MainBoard_20251121_151531,pulse,05,,,,,
acq_MainBoard_20251121_151531,pulse,06,,,,,
acq_MainBoard_20251121_151531,pulse,07,1010.82,2.0,0.07,0.0,1231.0
acq_MainBoard_20251121_151531,pulse,08,,,,,
acq_MainBoard_20251121_151531,pulse,09,,,,,
acq_MainBoard_20251121_151531,pulse,10,,,,,
acq_MainBoard_20251121_151531,pulse,11,,,,,
acq_MainBoard_20251121_151531,pulse,12,,,,,
acq_MainBoard_20251121_151531,pulse,13,,,,,
acq_MainBoard_20251121_151531,pulse,14,,,,,
acq_MainBoard_20251121_151531,pulse,15,,,,,
acq_MainBoard_20251121_151531,pulse,16,,,,,
acq_MainBoard_20251121_151531,pulse,17,990.43,2.0,0.07,0.0,1221.0
acq_MainBoard_20251121_151531,pulse,18,,,,,
acq_MainBoard_20251121_151531,pulse,19,,,,,
acq_MainBoard_20251127_175303,pedestal,01,264.179,0.7,0.003,0.0,54687.0
acq_MainBoard_20251127_175303,pedestal,02,263.214,0.8,0.004,0.0,54687.0
acq_MainBoard_20251127_175303,pedestal,03,261.08,5.0,0.03,0.0,22086.0
acq_MainBoard_20251127_175303,pedestal,04,261.066,0.8,0.003,0.0,54691.0
acq_MainBoard_20251127_175303,pedestal,05,256.285,0.8,0.004,0.0,54683.0
acq_MainBoard_20251127_175303,pedestal,06,254.86,0.7,0.003,0.0,54677.0
acq_MainBoard_20251127_175303,pedestal,07,261.408,0.8,0.003,0.0,54680.0
acq_MainBoard_20251127_175303,pedestal,08,253.575,0.8,0.003,0.0,54687.0
acq_MainBoard_20251127_175303,pedestal,09,256.801,0.7,0.003,0.0,54682.0
acq_MainBoard_20251127_175303,pedestal,10,254.412,0.7,0.003,0.0,54687.0
acq_MainBoard_20251127_175303,pedestal,11,270.176,0.8,0.004,0.0,54685.0
acq_MainBoard_20251127_175303,pedestal,12,268.805,0.9,0.004,0.0,54688.0
acq_MainBoard_20251127_175303,pedestal,13,251.803,0.4,0.002,0.0,54701.0
acq_MainBoard_20251127_175303,pedestal,14,258.96,0.7,0.003,0.0,54687.0
acq_MainBoard_20251127_175303,pedestal,15,259.771,0.8,0.003,0.0,54699.0
acq_MainBoard_20251127_175303,pedestal,16,254.896,0.8,0.003,0.0,54684.0
acq_MainBoard_20251127_175303,pedestal,17,259.191,0.8,0.003,0.0,54689.0
acq_MainBoard_20251127_175303,pedestal,18,263.191,0.7,0.003,0.0,54689.0
acq_MainBoard_20251127_175303,pedestal,19,264.967,1.0,0.004,0.0,54688.0
acq_MainBoard_20251127_175303,pulse,01,1056.7,3.0,0.2,0.0,267.0
acq_MainBoard_20251127_175303,pulse,02,1041.9,3.0,0.2,0.0,266.0
