event_type,channel,status,length,adc,pmt_time,time_coarse,time_fine,tdc_coarse,tdc_start,tdc_stop,crc
0,10,4,0,258,2051353077151,7641,237757855,2,9,10,10
0,11,4,0,258,2051353077151,7641,237757855,2,11,13,8
0,12,4,0,260,2051353077151,7641,237757855,2,9,10,5
0,13,4,0,259,2051353077151,7641,237757855,2,10,11,14
0,14,4,0,257,2051353077151,7641,237757855,2,9,11,9
0,15,4,0,260,2051353077151,7641,237757855,2,11,13,15
0,16,4,0,257,2051353077151,7641,237757855,2,8,10,15
0,17,4,0,257,2051353077151,7641,237757855,2,8,9,8
0,18,4,0,258,2051353077151,7641,237757855,2,7,7,6
0,7,4,0,968,2051353199665,7641,237880369,11,5,15,4
0,6,4,0,977,2051353238209,7641,237918913,12,3,4,0
0,16,4,0,951,2051353239533,7641,237920237,12,7,4,2
0,10,4,0,968,2051353352159,7641,238032863,12,13,8,12
0,15,4,0,975,2051353381433,7641,238062137,12,2,1,11
0,9,4,0,987,2051353953782,7641,238634486,11,1,10,4
0,1,4,0,1037,2051353958648,7641,238639352,12,5,1,5
0,13,4,0,1024,2051353977580,7641,238658284,12,8,1,0
0,17,4,0,978,2051354240261,7641,238920965,12,8,5,3
0,0,4,0,1024,2051354298054,7641,238978758,12,7,4,4
0,2,4,0,969,2051354368208,7641,239048912,12,11,9,3
0,11,4,0,1003,2051354482666,7641,239163370,12,11,5,10
0,8,4,0,966,2051354493193,7641,239173897,12,8,8,11
0,14,4,0,968,2051354662374,7641,239343078,11,5,11,15
0,18,4,0,984,2051354911946,7641,239592650,11,2,13,7
0,12,4,0,976,2051355056984,7641,239737688,12,8,6,10
0,3,4,0,987,2051355183984,7641,239864688,12,11,10,10
0,4,4,0,1024,2051355479746,7641,240160450,11,2,13,6
0,5,4,0,990,2051355483451,7641,240164155,12,11,8,10
0,7,4,0,968,2051355810312,7641,240491016,12,5,1,10
0,6,4,0,977,2051355836621,7641,240517325,12,3,4,6
0,16,4,0,951,2051355853487,7641,240534191,12,4,1,4
0,10,4,0,967,2051355955695,7641,240636399,12,12,8,0
0,15,4,0,976,2051355977867,7641,240658571,12,5,5,10
0,1,4,0,1037,2051356552754,7641,241233458,12,13,8,9
0,9,4,0,987,2051356553185,7641,241233889,12,8,2,8
0,13,4,0,1024,2051356585466,7641,241266170,11,3,11,12
0,17,4,0,976,2051356848261,7641,241528965,12,14,10,3
0,0,4,0,1023,2051356897062,7641,241577766,11,2,15,5
0,2,4,0,969,2051356967591,7641,241648295,12,6,4,5
0,11,4,0,1003,2051357090407,7641,241771111,12,7,1,6
0,8,4,0,965,2051357099808,7641,241780512,12,8,8,0
0,14,4,0,969,2051357268264,7641,241948968,12,13,5,12
0,18,4,0,985,2051357516287,7641,242196991,12,10,5,3
0,12,4,0,977,2051357659889,7641,242340593,12,2,0,15
0,3,4,0,987,2051357784309,7641,242465013,12,13,11,14
0,0,4,0,258,2051358076848,7641,242757552,2,12,13,9
0,1,4,0,259,2051358076848,7641,242757552,2,9,10,1
0,2,4,0,257,2051358076848,7641,242757552,2,10,11,7
0,3,4,0,257,2051358076848,7641,242757552,2,8,9,0
0,4,4,0,258,2051358076848,7641,242757552,2,5,5,12
0,5,4,0,259,2051358076848,7641,242757552,2,8,9,11
0,6,4,0,259,2051358076848,7641,242757552,2,9,10,12
0,7,4,0,257,2051358076848,7641,242757552,2,11,12,13
0,8,4,0,257,2051358076848,7641,242757552,2,10,11,13
0,9,4,0,260,2051358076848,7641,242757552,3,14,0,4
0,10,4,0,258,2051358076848,7641,242757552,2,9,10,14
0,11,4,0,258,2051358076848,7641,242757552,2,11,13,12
0,12,4,0,259,2051358076848,7641,242757552,2,9,10,6
0,13,4,0,259,2051358076848,7641,242757552,2,10,12,13
0,14,4,0,258,2051358076848,7641,242757552,2,9,11,14
0,15,4,0,260,2051358076848,7641,242757552,2,11,13,11
0,16,4,0,257,2051358076848,7641,242757552,2,8,10,11
0,17,4,0,257,2051358076848,7641,242757552,2,8,9,12
0,18,4,0,258,2051358076848,7641,242757552,2,7,7,2
0,5,4,0,991,2051358077986,7641,242758690,12,15,12,0
0,4,4,0,1024,2051358086257,7641,242766961,12,14,10,15
0,16,4,0,950,2051358344422,7641,243025126,12,14,10,7
0,7,4,0,970,2051358421627,7641,243102331,11,4,14,9
0,6,4,0,976,2051358435109,7641,243115813,13,14,0,7
0,10,4,0,967,2051358558323,7641,243239027,12,14,10,10
0,15,4,0,976,2051358574037,7641,243254741,12,7,6,3
0,1,4,0,1036,2051359146928,7641,243827632,11,1,13,8
0,9,4,0,986,2051359152520,7641,243833224,12,8,1,1
0,13,4,0,1024,2051359193266,7641,243873970,11,7,14,1
0,17,4,0,978,2051359456238,7641,244136942,12,10,6,2
0,0,4,0,1024,2051359496644,7641,244177348,12,14,11,2
0,2,4,0,969,2051359566998,7641,244247702,12,4,2,10
0,11,4,0,1003,2051359698070,7641,244378774,11,0,9,13
0,8,4,0,966,2051359705776,7641,244386480,12,1,1,8
0,16,4,0,951,2051359775953,7641,244456657,12,7,3,15
0,14,4,0,968,2051359874853,7641,244555557,11,6,12,15
0,18,4,0,984,2051360118634,7641,244799338,12,12,7,2
0,12,4,0,976,2051360263048,7641,244943752,12,8,5,3
0,3,4,0,987,2051360385554,7641,245066258,11,1,14,0
0,5,4,0,990,2051360672469,7641,245353173,12,13,9,15
0,4,4,0,1025,2051360692923,7641,245373627,12,15,11,11
0,7,4,0,969,2051361031507,7641,245712211,12,12,7,13
0,6,4,0,976,2051361033258,7641,245713962,12,8,9,6
0,10,4,0,968,2051361161626,7641,245842330,11,1,12,5
0,15,4,0,976,2051361170267,7641,245850971,12,4,4,2
0,1,4,0,1036,2051361740549,7641,246421253,12,11,6,10
0,9,4,0,986,2051361752099,7641,246432803,11,1,10,11
0,13,4,0,1024,2051361800781,7641,246481485,11,7,14,10
0,17,4,0,978,2051362064514,7641,246745218,11,0,12,8
0,0,4,0,1024,2051362095904,7641,246776608,12,5,2,11
0,2,4,0,970,2051362166685,7641,246847389,12,3,1,13
0,11,4,0,1003,2051362305946,7641,246986650,12,9,3,8
0,8,4,0,965,2051362312005,7641,246992709,12,10,10,6
0,16,4,0,950,2051362391018,7641,247071722,12,4,1,3
0,14,4,0,969,2051362480677,7641,247161381,11,6,12,15
0,18,4,0,985,2051362721736,7641,247402440,12,7,3,5
0,12,4,0,976,2051362866359,7641,247547063,12,12,9,12
0,3,4,0,988,2051362985848,7641,247666552,12,11,8,11
0,0,4,0,258,2051363076545,7641,247757249,2,12,14,14
0,1,4,0,258,2051363076545,7641,247757249,2,9,10,4
0,2,4,0,257,2051363076545,7641,247757249,2,10,12,4
0,3,4,0,257,2051363076545,7641,247757249,2,8,9,4
0,4,4,0,258,2051363076545,7641,247757249,2,5,5,8
0,5,4,0,258,2051363076545,7641,247757249,2,8,9,14
0,6,4,0,259,2051363076545,7641,247757249,2,9,11,9
0,7,4,0,258,2051363076545,7641,247757249,2,11,12,10
0,8,4,0,257,2051363076545,7641,247757249,2,10,11,9
0,9,4,0,260,2051363076545,7641,247757249,3,14,0,0
0,10,4,0,257,2051363076545,7641,247757249,2,9,10,9
0,11,4,0,258,2051363076545,7641,247757249,2,11,13,8
0,12,4,0,258,2051363076545,7641,247757249,2,9,10,3
0,13,4,0,258,2051363076545,7641,247757249,2,10,12,8
0,14,4,0,258,2051363076545,7641,247757249,2,10,11,3
0,15,4,0,259,2051363076545,7641,247757249,2,12,13,3
0,16,4,0,257,2051363076545,7641,247757249,2,9,10,7
0,17,4,0,257,2051363076545,7641,247757249,2,8,10,11
0,18,4,0,257,2051363076545,7641,247757249,2,7,8,10
0,5,4,0,989,2051363265647,7641,247946351,12,4,1,1
0,4,4,0,1024,2051363299447,7641,247980151,12,8,3,4
0,6,4,0,976,2051363631589,7641,248312293,12,7,9,9
0,7,4,0,969,2051363641976,7641,248322680,12,6,1,10
0,10,4,0,967,2051363765630,7641,248446334,11,3,14,13
0,15,4,0,976,2051363766463,7641,248447167,12,1,1,15
0,1,4,0,1036,2051364334043,7641,249014747,12,10,6,6
0,9,4,0,986,2051364351790,7641,249032494,12,10,4,14
0,13,4,0,1024,2051364408118,7641,249088822,11,5,13,14
